ID,T-shirt,Long Sleeve T-shirt,Shirt,Sweatshirt,Sleeveless,Hoodie,Knit Shirt,Cardigan,Jeans,Cotton Pants,Shorts,Slacks pants,Sweat pants,Jogger pants,Cargo Pants,Track pants,sneakers,boots,Dress shoes,Sandals/slippers,clog
1,4,1,10,7,0,7,2,2,10,10,1,4,4,2,3,1,2,0,2,0,2
2,9,1,3,0,1,0,0,1,5,7,5,3,2,3,3,3,4,0,1,1,0
3,16,0,3,2,1,6,0,0,10,10,2,4,5,4,0,1,2,1,1,3,2
4,15,4,5,1,3,2,3,2,7,14,5,2,0,3,1,1,1,0,1,0,1
5,19,2,10,3,2,4,4,2,3,3,0,3,3,0,3,1,1,0,0,2,0
6,4,2,6,1,2,0,4,0,8,5,5,6,0,3,0,1,1,0,1,3,3
7,6,3,7,2,2,3,3,2,8,3,2,2,5,0,1,1,1,1,1,2,3
8,9,2,7,5,1,6,4,2,3,8,0,3,3,0,0,3,0,1,0,1,2
9,13,3,4,1,0,4,1,0,12,9,1,5,4,3,0,2,3,1,2,3,1
10,2,3,7,3,0,5,3,2,15,8,3,4,4,1,2,3,3,1,0,1,3
11,9,4,8,7,3,0,2,0,15,10,2,3,3,2,2,0,4,0,1,3,2
12,12,1,8,0,2,3,1,1,6,0,2,5,5,4,0,3,3,0,0,2,1
13,18,3,6,3,3,4,2,0,8,7,1,4,0,0,1,3,2,1,0,0,3
14,9,1,10,4,1,4,4,0,11,7,3,6,1,0,0,1,0,1,1,2,0
15,5,4,5,3,2,0,4,2,1,14,2,1,5,4,1,0,2,0,2,1,2
16,20,4,5,5,1,6,4,2,10,12,1,5,3,1,2,1,0,0,0,1,0
17,3,3,6,0,0,2,0,2,10,16,2,2,4,1,3,3,4,1,1,2,1
18,16,4,1,8,3,1,2,0,6,10,4,0,5,3,0,1,3,1,2,3,3
19,10,5,0,8,0,1,1,2,4,8,3,0,1,0,2,0,4,0,2,0,3
20,9,1,5,7,2,4,3,2,13,13,0,4,4,4,2,2,2,1,0,2,0
21,9,4,7,7,0,0,0,1,7,3,4,0,2,4,1,2,1,1,0,0,0
22,10,5,0,3,0,2,1,1,8,2,2,3,3,4,2,2,0,0,0,0,0
23,20,5,4,2,2,5,4,1,6,12,3,3,1,2,2,2,2,1,0,2,1
24,19,1,7,0,2,5,2,1,11,12,4,2,0,5,3,0,0,1,2,3,3
25,13,4,4,1,0,5,2,1,2,11,5,4,4,1,2,2,1,1,1,2,3
